# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Fullständig ändringslogg
buildtoolbar_popup_locked_PsychiatricConsultation	Blir upplåst efter *B psykiatersamtal till
buildtoobar_PsychConItemImproveInfo	- Förbättrar psykiaterkontorets betyg.
buildtoobar_PsychConItemImproveSuppression	- Efter ett samtal minskar en psykiskt störd interns\nborttränging och vissa behov med +5 %
buildtoobar_PsychConItemImproveGrace	- Efter ett samtal blir en psykiskt störd intern\nlugn i 1 dag innan bortträngning och vissa behov\nbörjar att gå upp igen.
buildtoolbar_popup_obj_Footbridge	Gör så att interner och personal kan ta sig över land och vatten. Kan inte byggas över väggar, stängsel eller andra byggnader.
buildtoolbar_popup_obj_FootbridgeSteel	Gör så att interner och personal kan ta sig över land och vatten. Kan inte byggas över väggar, stängsel eller andra byggnader.
buildtoolbar_popup_obj_FootbridgeB	Gör så att interner och personal kan ta sig över land och vatten. Kan inte byggas över väggar, stängsel eller andra byggnader.
buildtoolbar_popup_obj_FootbridgeSteelB	Gör så att interner och personal kan ta sig över land och vatten. Kan inte byggas över väggar, stängsel eller andra byggnader.
buildtoolbar_popup_obj_BoomBoxRoundHouse	Låt dina interner lyssna på sina favoritpojkband under dagen. Det gör alla interner i samma rum lite gladare.
# =============================================================================
# Room - Names
# =============================================================================

room_PaddedSolitary	Vadderad isoleringscell

# =============================================================================
# Room - Description
# =============================================================================

buildtoolbar_popup_room_paddedcell	Avsedd för psykiskt störda interner. De vadderade väggarna har en lugnande inverkan.
buildtoolbar_popup_room_paddedholdingcell	Här placerar vi nyintagna psykiskt störda interner innan en permanent vadderad cell är tillgänglig.
buildtoolbar_popup_room_paddedsolitary	En isolerad typ av fångenskap för de värsta av våra psykiskt störda interner.

# =============================================================================
# Quick Build - Names
# =============================================================================

quickbuild_paddedbasiccell	Vadderad (liten)
quickbuild_paddedintermediatecell	Vadderad (medel)
quickbuild_paddedholdingcell	Vadderad häktescell
quickbuild_paddedsolitarycell	Vadderad isoleringscell
quickbuild_PsychiatristOffice	Psykiaterkontor



# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_insaneseczone	Endast psykavdelning
interfacetopbar_PrisonerCells_insaneSecOnly	Kapacitet för psykiskt störda: *X

roomgrading_PsychiatristOffice_info	Lås upp och placera fler objekt i psykiaterkontoret för att ge bättre behandling till psykiskt störda interner.\n
Items	låses upp via kriminellt psykiskt störda interner som deltar i de psykiatriska konsultationsprogrammen.
roomgrading_PsychiatristOffice_Item	Föremål: *X
roomgrading_PsychiatristOffice_Quality	Psykiatrikvalitet: *Q
roomgrading_PsychiatristOffice_Upgrade	Uppgradera psykiaterkontoret för att höja kvaliteten.

roomgrading_score_average	GENOMSNITTLIG
roomgrading_score_good	BRA
roomgrading_score_verygood	MYCKET BRA
roomgrading_score_outstanding	UTOMORDENTLIG

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_grant_firstinsanecellblock	Psykavdelning
objective_grant_firstinsanecellblock_description	Regeringen är beredd att ge ekonomiskt stöd för att bygga ut vårt fängelse så att vi kan hysa och ta hand om psykiskt störda interner.\n\nDet här bidraget kommer hjälpa oss att bygga vadderade celler och anlita utbildade psykiater.
objective_grant_firstinsanecellblock_cells	Bygg en psykavdelning med 10 vadderade celler för psykiskt störda.
objective_grant_firstinsanecellblock_prisoners	Ta in 10 psykiskt störda interner
objective_grant_firstinsanecellblock_psychiatrist	Anlita 2 psykiater (som behöver varsitt kontor)

objective_readinsaneletter	VD:ns riktlinjer om psykiskt störda interner
objective_readinsaneletter_description	Innan du tar in psykiskt störda personer i fängelset måste du kunna tillhandahålla anläggningar och personal som kan bemöta deras behov – VD:n

# =============================================================================
# Wardens
# =============================================================================

warden_wardeninsanehawk_name	Hawk Hartman
warden_wardeninsanehawk_desc	Hartman är före detta prisjägare som tränar säkerhetspersonalen på olika sätt.\n\n- Vakter tappar inte nycklar lika ofta\n- Vakters uthållighet fylls på vid intag
warden_wardeninsanehawk_desc_short	- Vakters uthållighet fylls på vid intag.

warden_wardeninsaneslugworth_name	Dr Slugworth
warden_wardeninsaneslugworth_desc	Andra fängelser avvisar dem, men Slugworth öppnar dörrarna för landets psykiskt störda fångar i hopp om att hjälpa.\n\n- Psykiaterbehandlingar blir 20 % positivare\n- Större chans att få psykopatiska interner!
warden_wardeninsaneslugworth_desc_short	- Tar emot fler psykopatiska interner. Psykiater ger bättre behandling.

warden_wardeninsanehudson_name	Dr Hudson
warden_wardeninsanehudson_desc	Dr Hudson är beredd att göra det ingen annan fängelsedirektör kan.\n\n- Räddningstjänst agerar 20 % snabbare och anländer tidigare\n- Reparationskostnaderna sänks med 10 %
warden_wardeninsanehudson_desc_short	- Snabbare utryckning och billigare reparationer.

# =============================================================================
# Victory, failures
# =============================================================================

victory_insaneprisonersdeaths	Dödsfall bland psykiskt störda
victory_warning_insaneprisonersdeaths	Du får sparken om för många störda interner dör.
victory_insaneprisonersdeaths_units	Dödsfall

victory_insaneprisonersabused	Överfall bland psykiskt störda
victory_warning_insaneprisonersabused	Du får sparken om för många störda interner blir överfallna av vakter.
victory_insaneprisonersabused_units	Överfall

victory_adviserwarning_insaneprisonersdeaths1	Vi kan inte tillåta att våra psykiskt störda interner blir illa behandlade på vårt fängelse! Media kommer smutskasta vårt namn om vi inte skärper oss!
victory_advisernotice_insaneprisonersdeaths1	Nu räcker det! Du skulle ta hand om de psykiskt störda, och istället har du låtit dem utstå fruktansvärda grymheter. Jag måste ge dig sparken, och jag hoppas verkligen du tar en lång funderare på vad du egentligen håller på med.

# =============================================================================
# Codex
# =============================================================================

codex_option_criminallyinsane	Psykiskt störda interner

codex_tooltip_criminallyinsane	Hantera interner som ständigt känner sig bortträngda, behöver nya vadderade celler och psykiatrisk vård för att tillgodose deras behov inom privatliv, komfort, säkerhet och frihet innan de spårar ur. Aktiverar du den här inställningen kan även dina andra interner komma att bli psykiskt störda på ditt fängelse om deras behov inte tillgodoses. Du kan stänga av detta i kartinställningar.

codex_prisoner_biography_NITG	Anpassad spelarskapad biografi
codex_options_InsaneGauge	Individuella stabilitetsmätare

codex_option_desert	Ökentomt
codex_tooltip_desert	Skapa en starttomt som liknar en sandöken.

codex_options_rendercolours	Färgade rumöverlägg

codex_new_selectdog	Välj vakthundar

codex_option_prisonerTurning	Interner kan bli psykiskt störda

# =============================================================================
# Rapsheet
# =============================================================================

rapsheet_category_insane	Psykiskt störda
rapsheet_insane_bio_desc	Psykiskt störda interner känner en ständig nivå av bortträngning och behöver vadderade celler och psykiatrisk vård för att hålla sig lugna.\n\nPsykiskt störda interner som tappar kontrollen beter sig oförutsägbart och kan bland annat överfalla personal, skada fängelset eller försöka rymma.

reputation_Weak	Svag
reputation_Insomniac	Sömnlös
reputation_Depressed	Deprimerad
reputation_Outbreaks	Utbrott
reputation_Sickness	Illamående
reputation_Hyperactive	Hyperaktiv
reputation_Addict	Beroende
reputation_Claustrophobic	Klaustrofobisk
reputation_ExtremelyStoical	Extremt stoisk
reputation_ExtremelyVolatile	Extremt ostabil
reputation_Psychopathic	Psykopatisk
reputation_Insane	Psykiskt störd

reputationtooltip_Weak	Den här internen är svagare, kan inte försvara sig i slagsmål och löper större risk att bli skadad.
reputationtooltip_Insomniac	Den här internen sover väldigt lite.
reputationtooltip_Depressed	Den här internen rör sig mycket långsammare om den känner sig kuvad och obehandlad.
reputationtooltip_Outbreaks	Den här internen är benägen att få vredesutbrott och förstöra saker omkring sig om den känner sig kuvad och obehandlad.
reputationtooltip_Sickness	Den här internen är benägen att kräkas eller bajsa på sig om den känner sig kuvad och obehandlad.
reputationtooltip_Hyperactive	Den här internen rör sig mycket snabbare om den känner sig kuvad och obehandlad.
reputationtooltip_Addict	Den här internen är benägen att försjunka i ett drogberoende om den känner sig kuvad och obehandlad.
reputationtooltip_Claustrophobic	Den här internen är mer benägen att rymma om den känner sig kuvad och obehandlad.
reputationtooltip_ExtremelyStoical	Den här internen bryr sig inte om att bli inlåst i en isoleringscell eller vara nära vakter och känner sig inte kuvad.
reputationtooltip_ExtremelyVolatile	Den här internen måste du hålla ett öga på, för vad som helst kan leda till ett utbrott eller anfall.
reputationtooltip_Psychopathic	Den här internen är mycket farligare och mer oförutsägbar än andra psykiskt störda interner.
reputationtooltip_Insane	Den här internen behöver tillgång till en psykiater och vadderad cell för att hålla sig lugn.

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_insane	Psykiskt störda
report_intake_list_tooltip_insane	Psykiskt störda interner känner en ständig nivå av bortträngning och behöver vadderade celler och psykiatrisk vård för att hålla sig lugna.\n\nDu kan inte ta in psykiskt störda interner innan du har vadderade celler eller åtminstone en vadderad häktescell.\n\nDu kan vaddera vanliga celler från rummenyn.
report_intake_insane_intake_empty	Du kan inte ta in psykiskt störda interner just nu.\n Du måste bygga vadderade celler eller vadderade häktesceller.\nDu kan vaddera vanliga celler från rummenyn.
report_staff_group_prisoners_insane	Psykiskt störda
report_Criminally_Insane	Psykiskt störda
report_Pyschopathic	Psykopatisk

report_intake_enable_insane	På
report_intake_psychward_title	Psych Ward: Warden’s Edition
report_intake_psychward_tooltip	Aktivera expansionen Psych Ward: Warden’s Edition för det här spelet.\n\nMed detta kan du ta in psykiskt störda interner, men först måste du förbereda fängelset.\n\nDu kan forska på och anställa psykiater och skötare. Du kan skapa vadderade celler och häktesceller.\n\nPsykiater och vadderade celler håller dina psykiskt störda interner lugna.

reformerror_no_psychiatrist	INGEN PSYKIATER
reform_completion_psychiatrist	- *X Färdiga - *Y Behandlade (*P %)
report_staff_group_orderlies	Skötare

# =============================================================================
# Research
# =============================================================================
research_Orderly	Skötare
research_Psychiatrist	Psykiater

researchtooltip_Orderly	Vanliga vakter får inte attackera psykiskt störda interner, eftersom de kan råka skada dem.\nSkötare är specialtränade för att tygla psykiskt störda utan att skada dem.\nSkötare kan också sätta på tvångströjor på psykopatiska interner om kvällarna för att de inte ska skada sig över natten.
researchtooltip_Psychiatrist	En anställd som hjälper psykiskt störda interner.\nNär fängelset har ett psykvårdsprogram kommer psykiater regelbundet att träffa de störda internerna för hålla dem lugna. \nOm vi har många interner som behöver psykisk vård borde vi anställa flera psykiater för att hjälpa alla. De måste ha varsitt kontor också.


# =============================================================================
# Misc
# =============================================================================

doortimer_security_Insane	Psykiskt störd

buildtoolbar_header_foundationmain	Bas
buildtoolbar_header_foundationmore	Mer

reformprogram_PsychiatricConsultation	Psykiatrisk vård
reformprogram_PsychiatricConsultation_text	Alla psykiskt störda interner behöver regelbundna samtal med vår psykiater för att motverka den växande känslan av bortträngning. Brist på psykiatrisk hjälp kan leda till våldsamma utbrott och andra unika reaktioner från de här fångarna.
reform_program_properties_NeedToBeEscorted	Interner kan behöva eskorteras till samtalen.
reform_program_intake_insane	Endast psykiskt störda interner.

insane_letter	Hej!\n\n\nHär är några viktiga riktlinjer för att du ska komma igång med de anläggningar och den personal som krävs för att ta hand om psykiskt störda interner.\n\n1. Störda interner måste ha vadderade celler. Du kan vaddera vanliga celler från rumsmenyn. När det finns vadderade celler kan du ta emot internerna.\n\n2. Du måste också ha anställt psykiater och skötare. Psykiater behöver särskilda kontor.\n\n3. Förbered psykiatriska samtal för dina psykiskt störda interner. Samtal med en psykiater bidrar (liksom vadderade celler) till att hålla internerna under kontroll. Uppgradera psykiaterkontoret för att förbättra behandlingen.\n\n4. Om psykiskt störda interner inte får den behandling och uppsyn de behöver kan de agera oförutsägbart, försöka rymma eller bli våldsamma.\n\n5. Skötare hjälper till att eskortera och vårda internerna, och de kuvar inte interner som vanliga vakter gör. Du behöver också skötare för att sätta på tvångströjor på psykopatiska interner varje kväll. \n\n6. Det kan uppstå problem om psykiskt störda interner träffar andra, så det är ofta klokt att bygga avskilda områden åt dem i matsalar och gårdar med mera. Det är också bra att ha psykiatrernas kontor i närheten av den rättspsykiatriska avdelningen.\n\n7. Det kan hända att interner på andra delar av fängelset blir psykiskt störda, så håll ögonen öppna.\n\nVD:n\nPrison Architects Corp
