# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Tüm Değişiklikler
buildtoolbar_popup_obj_direwoof	Bundan kim kaçabilir ki zaten?

buildtoolbar_popup_filter_mostused	En Çok Kullanılan
buildtoolbar_caters_safety	Güvenlik ihtiyacını karşılar.

interfacedeployment_orderly	Hastabakıcı Ata
buildtoolbar_deployment_orderly	Hastabakıcıyı hapishanenin bölgelerine ata.

interfacedeployment_orderlypatrols	Hastabakıcı Ata
buildtoolbar_deployment_orderlypatrols	Hastabakıcıları hapishanenin Devriye Güzergâhlarına ata.

room_PaddedCell	Dolgulu Duvarlı Hücre
room_PaddedHoldingCell	Dolgulu Duvarlı Nezarethane Hücresi
room_PsychiatristOffice	Psikiyatrist Ofisi

interfaceplanning_BuildPlan	Planları İnşa Et
interfaceplanning_ClearPlan	Planları Temizle
interfaceplanning_Door	Kapılar

buildtoolbar_improvement	Dereceyi yükseltip *R yapar.
buildtoolbar_improvement_windows	(dışarıya dönükken)

buildplan_title	Duvar Türü Seçimi
buildplan_message	Planını yapmaya hazır mısın?\n	Bu eylem geri alınamaz.\n\n	Planlanan tüm duvarlar aynı duvar türünden yapılacak.\n	Duvar türü seçimini aşağıdan değiştirebilirsin.
clearplan_title	Planları Temizle
clearplan_message	Çizdiğin tüm planları temizlemek istediğinden emin misin?\n \n	Bu eylem geri alınamaz.

d11_custom_planning	Özel Planlama

buildtoolbar_popup_planning	Hapishaneni, işçiler sen hazır değilken işe başlayacak korkusu olmadan tasarla. Planlama Menüsü, planlanan tüm Yapıların ve Kapıların inşa edilmesine, Planlarının bir kısmını Silmene ya da planın tamamını Temizleyip baştan başlamana olanak tanır.

buildtoolbar_popup_help_planningDoor_1	Seçilen kapı tipi Planına bir Kapı yerleştirdiğinde kullanılacak.
buildtoolbar_popup_help_quickBuildWall_1	Seçilen duvar tipi sonraki Hızlı İnşa işinde ya da işlerinde kullanılacak.


buildtoolbar_popup_mat_blueclassywall	Temellerin üzerine şık duvarlar inşa ederek yeni personel alanları veya odalar yap.
buildtoolbar_popup_mat_burgundyclassywall	Temellerin üzerine şık duvarlar inşa ederek yeni personel alanları veya odalar yap.
buildtoolbar_popup_mat_greenclassywall	Temellerin üzerine şık duvarlar inşa ederek yeni personel alanları veya odalar yap.

buildtoolbar_popup_obj_windowclassy	Dışarıyı gerçekte olduğundan çok daha güzel gösterir.
buildtoolbar_popup_obj_windowclassyLarge	Dışarıyı gerçekte olduğundan çok daha güzel gösterir.
buildtoolbar_popup_obj_gravestone	Hapishanemizde gerçekleşen her ölüm için bir mezar taşı tedarik edilir.

buildtoolbar_popup_staff_psychiatrist	Suç İşleyebilen Deli mahkumlara düzenli olarak danışmanlık veren bir gelişmiş personel üyesi.\nHapishanede bir Psikiyatrik Danışmanlık programı kurulduktan sonra, psikiyatristler Suç İşleyebilen Deli mahkumlarımızı yatıştırmak için düzenli birebir seanslar yapar. \nÇok sayıda Suç İşleyebilen Deli mahkûmumuz varsa, işe hepsini desteklemek için birden fazla psikiyatrist almalıyız. Her birine mutlaka ayrı ofis yap.

buildtoolbar_popup_staff_orderly	Suç İşleyebilen Delilerle uğraşmak için özel eğitim almış tıp personeli.
buildtoolbar_popup_obj_leatherchair	Deri Kanepe'yle takım. Personelinin oturması için ideal, mahkumların için elbette fazla rahat.

buildtoolbar_popup_obj_rorschachTest	Psikiyatrist Ofisi'ne Rorschach Testi eklemek, Psikiyatrist'in suç işleyebilen delilere verdiği tedavinin kalitesini arttırır.
buildtoolbar_popup_obj_anatomyModel	Psikiyatrist Ofisi'ne Anatomi Maketi eklemek, Psikiyatrist'in suç işleyebilen delilere verdiği tedavinin kalitesini arttırır.
buildtoolbar_popup_obj_flipboard	Psikiyatrist Ofisi'ne Not Tahtası ve beyin şeması eklemek, Psikiyatrist'in suç işleyebilen delilere verdiği tedavinin kalitesini arttırır.
buildtoolbar_popup_obj_medicineCabinetPsych	Psikiyatrist Ofisi'ne İlaç Dolabı eklemek, Psikiyatrist'in suç işleyebilen delilere verdiği tedavinin kalitesini arttırır.
buildtoolbar_popup_obj_leatherchair	Deri Kanepe'yle takım. Personelinin oturması için ideal, mahkumların için elbette fazla rahat.
buildtoolbar_popup_obj_leatherSofa	Psikiyatrist Ofisi'ne klasik bir Deri Kanepe eklemek, Psikiyatrist'in suç işleyebilen delilere verdiği tedavinin kalitesini arttırır.

buildtoolbar_deployment_insaneseczone	Bu bölgeye sadece suç işleyebilen deli mahkumların girmesine izin verilecek.

failuremessage_maximumcountreachedgeneric	Maks. Miktar Yerleştirildi

buildtoolbar_popup_locked_PsychiatricConsultation	*B Psikiyatri seansından sonra açılır
buildtoobar_PsychConItemImproveInfo	- Psikiyatrist Ofisi'nin Derecesini arttırır.
buildtoobar_PsychConItemImproveSuppression	- Danışmadan sonra suç işleyebilen deli mahkumun\nBastırma'sını ve çeşitli ihtiyaçlarını +%5 azaltır.
buildtoobar_PsychConItemImproveGrace	- Danışmadan sonra suç işleyebilen deli mahkumun\n1 günlük bir 'hoşgörü süresi' olur,\nardından Bastırma ve diğer ihtiyaçlar tekrar artmaya başlar.
buildtoolbar_popup_obj_Footbridge	Mahkumların ve personelin kara ve su bölgelerini aşmasını sağlar. Duvarların, çitlerin ve diğer binaların üstüne inşa edilemez.
buildtoolbar_popup_obj_FootbridgeSteel	Mahkumların ve personelin kara ve su bölgelerini aşmasını sağlar. Duvarların, çitlerin ve diğer binaların üstüne inşa edilemez.
buildtoolbar_popup_obj_FootbridgeB	Mahkumların ve personelin kara ve su bölgelerini aşmasını sağlar. Duvarların, çitlerin ve diğer binaların üstüne inşa edilemez.
buildtoolbar_popup_obj_FootbridgeSteelB	Mahkumların ve personelin kara ve su bölgelerini aşmasını sağlar. Duvarların, çitlerin ve diğer binaların üstüne inşa edilemez.
buildtoolbar_popup_obj_BoomBoxRoundHouse	Mahkumlarının günlerini geçirirken favori gruplarını dinlemelerine imkân tanır. Aynı odadaki tüm mahkumları biraz daha mutlu eder.
# =============================================================================
# Room - Names
# =============================================================================

room_PaddedSolitary	Dolgulu Duvarlı Tecrit Hücresi

# =============================================================================
# Room - Description
# =============================================================================

buildtoolbar_popup_room_paddedcell	Suç işleyebilen deli mahkumlarımız için yapılmıştır. Dolgulu, yumuşak duvarlarının sakinleştirici bir etkisi vardır.
buildtoolbar_popup_room_paddedholdingcell	Yeni suç işleyebilen deli mahkumlarımız, kalıcı bir dolgulu duvarlı hücre hazır olmadan önce buraya konur.
buildtoolbar_popup_room_paddedsolitary	Suç işleyebilen deli mahkumların en kötüleri için bir izole hapis biçimi.

# =============================================================================
# Quick Build - Names
# =============================================================================

quickbuild_paddedbasiccell	Dolgulu Duvarlı (Küçük)
quickbuild_paddedintermediatecell	Dolgulu Duvarlı (Orta)
quickbuild_paddedholdingcell	Dolgulu Duvarlı Nezarethane Hücresi
quickbuild_paddedsolitarycell	Dolgulu Duvarlı Tecrit Hücresi
quickbuild_PsychiatristOffice	Psikiyatrist Ofisi



# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_insaneseczone	Sadece Cezai Ehliyeti Olmayanlar
interfacetopbar_PrisonerCells_insaneSecOnly	Suç İşleyebilen Deli Kapasitesi: *X

roomgrading_PsychiatristOffice_info	Suç işleyebilen deli mahkumların tedavi kalitesini arttırmak için yeni nesneler açıp Psikiyatrist Ofisi'ne ekle.\n
Items	Psikiyatrik Danışmanlık Programı'na katılan cezai ehliyeti olmayan mahkumlar aracılığıyla kilidi açılır.
roomgrading_PsychiatristOffice_Item	Nesne: *X
roomgrading_PsychiatristOffice_Quality	Psikiyatrist Yeteneği: *Q
roomgrading_PsychiatristOffice_Upgrade	Psikiyatristin yeteneğini arttırmak için Psikiyatrist Ofisi'ni yükselt.

roomgrading_score_average	ORTALAMA
roomgrading_score_good	İYİ
roomgrading_score_verygood	ÇOK İYİ
roomgrading_score_outstanding	OLAĞANÜSTÜ

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_grant_firstinsanecellblock	Suç İşleyebilen Deliler Kanadı
objective_grant_firstinsanecellblock_description	Devlet, suç işleyebilen deli mahkumların hapishanemizde tutulabilmesini ve sağlıklarının korunabilmesini sağlayacak fonu vermeye gönüllü oldu.\n\nBu hibe sayesinde dolgulu duvarlı özel hücrelerin yapımı ve eğitimli psikiyatristlerin işe alınması kolaylaşacak.
objective_grant_firstinsanecellblock_cells	Suç İşleyebilen Deliler için 10 Dolgulu Duvarlı Hücreden oluşan bir kanat / hücre bloğu yap.
objective_grant_firstinsanecellblock_prisoners	10 adet Suç İşleyebilen Deli mahkum al.
objective_grant_firstinsanecellblock_psychiatrist	İşe 2 Psikiyatrist al (her biri için birer ofis gerekir)

objective_readinsaneletter	CEO'nun Suç İşleyebilen Deli Mahkum Kılavuzu
objective_readinsaneletter_description	Hapishanene suç işleyebilen deli mahkûmlar almadan önce ihtiyaçlarını karşılamak için gereken ortamı ve personeli hazırlamalısın. - CEO

# =============================================================================
# Wardens
# =============================================================================

warden_wardeninsanehawk_name	Hawk Hartman
warden_wardeninsanehawk_desc	Eski bir kefalet memuru olan Hartman, güvenlik ekibine değerli eğitim teknikleri aktarıyor.\n\n -Tüm gardiyanlar anahtarlarını daha nadiren düşürür\n -Gardiyanlar içeri mahkum aldıklarında dayanıklılıkları artar.
warden_wardeninsanehawk_desc_short	-Gardiyanlar içeri mahkum aldıklarında dayanıklılıkları artar.

warden_wardeninsaneslugworth_name	Dr. Slugworth
warden_wardeninsaneslugworth_desc	Slugworth tüm hapishanelerin geri çevirdiği en kötü Suç İşleyebilen Deli mahkûmlara yardım edebileceğini inanarak onlara kapılarını açar.\n\n -Psikiyatri tedavileri %20 daha pozitif olur\n -Suç İşleyebilen Psikopat mahkum gelmesi ihtimali artar!
warden_wardeninsaneslugworth_desc_short	- Daha çok Suç İşleyebilen Psikopat mahkum kabul eder. Psikiyatristler daha iyi tedavi sağlar.

warden_wardeninsanehudson_name	Dr. Hudson
warden_wardeninsanehudson_desc	Dr. Hudson başka hiçbir müdürün yapamadığını yapmaya hazırlıklıdır...\n\n -Acil durum hizmetleri %20 hızlanır ve erken gelir.\n -Tamirat masrafları %10 azalır.
warden_wardeninsanehudson_desc_short	- Müdahale süreleri kısalır, tamirat masrafları azalır.

# =============================================================================
# Victory, failures
# =============================================================================

victory_insaneprisonersdeaths	Deli Mahkum Ölümleri
victory_warning_insaneprisonersdeaths	Çok sayıda deli mahkumun ölürse kovulursun.
victory_insaneprisonersdeaths_units	Ölümler

victory_insaneprisonersabused	Saldırılan Deli Mahkumlar
victory_warning_insaneprisonersabused	Garddyanlar çok sayıda deli mahkuma saldırırsa kovulursun.
victory_insaneprisonersabused_units	Saldırılar

victory_adviserwarning_insaneprisonersdeaths1	Hapishanemizde suç işleyebilen deli mahkumlarımıza eziyet edilmesine göz yumamayız! Kendimize çeki düzen vermezsek medyanın atmadığı çamur kalmaz!
victory_advisernotice_insaneprisonersdeaths1	Buraya kadar! Beceremedin! Akıl hastalığı olanlara bakım sağlaman gerekirken onlara ağza alınmaz zulümler edilmesine izin verdin. Benim elimden sadece seni kovmak geliyor ama bence eve gidip hayattaki seçimlerini bir gözden geçir.

# =============================================================================
# Codex
# =============================================================================

codex_option_criminallyinsane	Suç İşleyebilen Deli Mahkumlar

codex_tooltip_criminallyinsane	Sürekli baskı altında hisseden ve parlamadan önce Mahremiyet, Konfor, Güvenlik ve Özgürlük ihtiyaçlarını azaltmak için yeni dolgulu duvarlı hücrelerle psikiyatristlere ihtiyaç duyan mahkumlarla uğraş. Bu ayarı açtığında, hapishanendeki İhtiyaçları karşılanmayan bazı sıradan mahkumların da delirme ihtimali olur. Mahkumların Suç İşleyebilen Deli mahkuma dönüşmesi Harita Ayarlarından kapatılabilir.

codex_prisoner_biography_NITG	Oyuncunun Oluşturduğu Özel Biyografi
codex_options_InsaneGauge	Başüstü Mahkum Göstergeleri

codex_option_desert	Çöl Arsa
codex_tooltip_desert	Kumluk bir çöle benzeyen bir arsayla başla.

codex_options_rendercolours	Renkli Oda Kaplamaları

codex_new_selectdog	Bekçi Köpeklerini Seç

codex_option_prisonerTurning	Mahkumlar Delirebilir

# =============================================================================
# Rapsheet
# =============================================================================

rapsheet_category_insane	Suç İşleyebilen Deli
rapsheet_insane_bio_desc	Suç İşleyebilen Deli Mahkumlar sürekli baskı hisseder. Sakin olabilmek için dolgulu duvarlı hücrelere ve psikiyatrik yardıma ihtiyaç duyarlar.\n\nParlayan Suç İşleyebilen Deli mahkumlar personelimize saldırabilir, hapishaneye hasar verebilir, kaçmaya çalışabilir ya da önceden kestirilemeyen başka davranışlarda bulunabilir.

reputation_Weak	Güçsüz
reputation_Insomniac	İnsomniyak
reputation_Depressed	Depresyonda
reputation_Outbreaks	Öfke Patlaması
reputation_Sickness	Hastalıklı
reputation_Hyperactive	Hiperaktif
reputation_Addict	Bağımlı
reputation_Claustrophobic	Klostrofobik
reputation_ExtremelyStoical	Son Derece Hissiz
reputation_ExtremelyVolatile	Son Derece Dengesiz
reputation_Psychopathic	Psikopat
reputation_Insane	Suç İşleyebilen Deli

reputationtooltip_Weak	Bu mahkum diğerlerinden güçsüz. Kavgada kendini pek kollayamaz ve bu yüzden yaralanması daha kolay.
reputationtooltip_Insomniac	Bu mahkum çok az uykuya ihtiyaç duyuyor.
reputationtooltip_Depressed	Bu mahkum baskı altında hissettiğinde ve tedavi görmediğinde çok daha yavaş hareket ediyor.
reputationtooltip_Outbreaks	Bu mahkumun baskı altında hissettiğinde ve tedavi görmediğinde öfke krizleri geçirme ve çevresine zarar verme huyu var.
reputationtooltip_Sickness	Bu mahkumun baskı altında hissettiğinde ve tedavi görmediğinde kusma ya da altına yapma huyu var.
reputationtooltip_Hyperactive	Bu mahkum baskı altında hissettiğinde ve tedavi görmediğinde çok daha hızlı hareket eder.
reputationtooltip_Addict	Bu mahkumun baskı altında hissettiğinde ve tedavi görmediğinde uyuşturucu bağımlısı olması olası.
reputationtooltip_Claustrophobic	Bu mahkum baskı altında hissettiğinde ve tedavi görmediğinde bulunduğu yerden kaçmak için çok daha büyük bir istek hisseder.
reputationtooltip_ExtremelyStoical	Bu mahkum Hücre Hapsinde kilitliyken de gardiyanların karşısındayken de baskı gördüğünü hissetmez. Hiç umrunda değildir.
reputationtooltip_ExtremelyVolatile	Gözün bunun üstünde olsun. Hiç beklenmedik bir nedenden dengesini yitirip her şeyi çok kısa sürede çok feci bir hale getirebilir.
reputationtooltip_Psychopathic	Bu mahkum diğer Suç İşleyebilen Deli mahkumlardan çok daha tehlikeli ve dengesizdir.
reputationtooltip_Insane	Bu mahkumun sakin kalabilmesi için bir Psikiyatrist'in Psikiyatrik Danışmanlık seanslarına ve dolgulu duvarlı bir hücreye erişimi olduğundan emin ol.

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_insane	Suç İşleyebilen Deli
report_intake_list_tooltip_insane	Suç İşleyebilen Deli mahkumlar kendilerini sürekli baskı altında hisseder ve parlamadan Mahremiyet, Konfor, Güvenlik ve Özgürlük ihtiyaçlarının azaltılması için yeni dolgulu duvarlı hücrelerle psikiyatrik yardıma ihtiyaç duyarlar.\n\nDolgulu Duvarlı Hücrelerin ya da bir Dolgulu Duvarlı Nezarethane Hücren olana kadar Suç İşleyebilen Deli mahkum talep edemezsin.\n\nNormal hücreler Odalar menüsünden dolgulu duvarlı hücrelere dönüştürülebilir.
report_intake_insane_intake_empty	Şu anda Suç İşleyebilen Deli mahkum alamazsın.\n Dolgulu duvarlı hücre ya da nezarethane hücresi yapman gerekir.\nNormal hücreleri Odalar menüsünden Dolgulu Duvarlı Hücrelere çevirebilirsin.
