# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Lijst van wijzigingen
buildtoolbar_popup_obj_windowclassy	Laat de buitenkant er veel beter uitzien dan deze eigenlijk is.
buildtoolbar_popup_obj_windowclassyLarge	Laat de buitenkant er veel beter uitzien dan deze eigenlijk is.
buildtoolbar_popup_obj_gravestone	Er wordt een grafsteen geleverd voor elk sterfgeval dat plaatsvindt in je gevangenis.

buildtoolbar_popup_staff_psychiatrist	Een gevorderd personeelslid dat gestoorde criminelen regelmatig raad geeft.\nPsychiaters bieden regelmatig een-op-een-sessies om de gestoorde criminelen te kalmeren, nadat we een psychiatrisch consultprogramma hebben ingevoerd in de gevangenis.\nAls we veel gestoorde criminelen hebben, moeten we een paar psychiaters inhuren om ze allemaal hulp te geven. Zorg dat ze allemaal ook een kantoor hebben.

buildtoolbar_popup_staff_orderly	Medisch personeel, speciaal getraind in het omgaan met gestoorde criminelen.
buildtoolbar_popup_obj_leatherchair	Past bij de leren sofa. Ideaal voor personeel om op te zitten, en ongetwijfeld veel te mooi voor je gevangenen.

buildtoolbar_popup_obj_rorschachTest	Door een rorschachtest aan je psychiaterskantoor toe te voegen, kan de psychiater gestoorde criminelen beter behandelen.
buildtoolbar_popup_obj_anatomyModel	Door een anatomisch model aan je psychiaterskantoor toe te voegen, kan de psychiater gestoorde criminelen beter behandelen.
buildtoolbar_popup_obj_flipboard	Door een flipover met hersenkaart aan je psychiaterskantoor toe te voegen, kan de psychiater gestoorde criminelen beter behandelen.
buildtoolbar_popup_obj_medicineCabinetPsych	Door een medicijnkast aan je psychiaterskantoor toe te voegen, kan de psychiater gestoorde criminelen beter behandelen.
buildtoolbar_popup_obj_leatherchair	Past bij de leren sofa. Ideaal voor personeel om op te zitten, en ongetwijfeld veel te mooi voor je gevangenen.
buildtoolbar_popup_obj_leatherSofa	Door een klassieke leren sofa aan je psychiaterskantoor toe te voegen, kan de psychiater gestoorde criminelen beter behandelen.

buildtoolbar_deployment_insaneseczone	Alleen gestoorde criminelen hebben toegang tot deze sector.

failuremessage_maximumcountreachedgeneric	Maximale aantal geplaatst

buildtoolbar_popup_locked_PsychiatricConsultation	Wordt ontgrendeld na *B psychiatrische sessies
buildtoobar_PsychConItemImproveInfo	- Verbetert het cijfer van een psychiaterskantoor.
buildtoobar_PsychConItemImproveSuppression	- Na een consultatie worden de onderdrukking en bepaalde\nbehoeften van een gestoorde crimineel met +5% verminderd
buildtoobar_PsychConItemImproveGrace	- Na een consultatie heeft een gestoorde crimineel\neen 'buffer' van 1 extra dag voordat\nonderdrukking en bepaalde behoeften weer gaan stijgen.
buildtoolbar_popup_obj_Footbridge	Zorgt dat gevangenen en personeel over land en water kunnen lopen. Kan niet worden gebouwd over muren, hekken en andere gebouwen.
buildtoolbar_popup_obj_FootbridgeSteel	Zorgt dat gevangenen en personeel over land en water kunnen lopen. Kan niet worden gebouwd over muren, hekken en andere gebouwen.
buildtoolbar_popup_obj_FootbridgeB	Zorgt dat gevangenen en personeel over land en water kunnen lopen. Kan niet worden gebouwd over muren, hekken en andere gebouwen.
buildtoolbar_popup_obj_FootbridgeSteelB	Zorgt dat gevangenen en personeel over land en water kunnen lopen. Kan niet worden gebouwd over muren, hekken en andere gebouwen.
buildtoolbar_popup_obj_BoomBoxRoundHouse	Laat je gevangenen luisteren naar hun favoriete boysband tijdens hun dagelijkse activiteiten. Maakt alle gevangenen in dezelfde ruimte een beetje gelukkiger.

# =============================================================================
# Room - Names
# =============================================================================

room_PaddedSolitary	Gestoffeerde isoleercel

# =============================================================================
# Room - Description
# =============================================================================

buildtoolbar_popup_room_paddedcell	Bedoeld voor gestoorde criminelen, met gestoffeerde muren die een kalmerend effect hebben.
buildtoolbar_popup_room_paddedholdingcell	Waar nieuwe gestoorde criminelen worden geplaatst voordat er een permanente gestoffeerde cel gereed is.
buildtoolbar_popup_room_paddedsolitary	Een eenzame cel voor de allerergste gestoorde criminelen.

# =============================================================================
# Quick Build - Names
# =============================================================================

quickbuild_paddedbasiccell	Gestoffeerd (klein)
quickbuild_paddedintermediatecell	Gestoffeerd (gemiddeld)
quickbuild_paddedholdingcell	Gestoffeerde tijdelijke cel
quickbuild_paddedsolitarycell	Gestoffeerde isoleercel
quickbuild_PsychiatristOffice	Psychiaterskantoor



# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_insaneseczone	Alleen gestoorde bewaking
interfacetopbar_PrisonerCells_insaneSecOnly	Capaciteit gestoorde criminelen: *X

roomgrading_PsychiatristOffice_info	Ontgrendel en plaats extra objecten in het psychiaterskantoor om gestoorde criminelen beter te behandelen.\n
Items	worden ontgrendeld via gestoorde criminelen die psychiatrische consultatieprogramma's volgen.
roomgrading_PsychiatristOffice_Item	Item: *X
roomgrading_PsychiatristOffice_Quality	Psychiatrische bekwaamheid: *Q
roomgrading_PsychiatristOffice_Upgrade	Upgrade het psychiaterskantoor om hem meer bekwaamheid te geven.

roomgrading_score_average	GEMIDDELD
roomgrading_score_good	GOED
roomgrading_score_verygood	HEEL GOED
roomgrading_score_outstanding	UITSTEKEND

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_grant_firstinsanecellblock	Vleugel voor gestoorde criminelen
objective_grant_firstinsanecellblock_description	De overheid is bereid om de uitbreiding van onze gevangenis te financieren zodat we gestoorde criminelen kunnen huisvesten en beschermen.\n\nMet dit fonds kunnen we speciale gestoffeerde cellen bouwen en getrainde psychiaters aannemen.
objective_grant_firstinsanecellblock_cells	Bouw een vleugel/gevangenisblok voor gestoorde criminelen met 10 gestoffeerde cellen
objective_grant_firstinsanecellblock_prisoners	Neem 10 gestoorde criminelen op
objective_grant_firstinsanecellblock_psychiatrist	Huur 2 psychiaters (elke psychiater heeft een kantoor nodig)

objective_readinsaneletter	Richtlijnen van de algemeen directeur voor gestoorde criminelen
objective_readinsaneletter_description	Voordat je gestoorde criminelen opneemt in je gevangenis, moet je de juiste faciliteiten en personeel hebben zodat je aan hun behoeften kunt voldoen - De algemeen directeur...

# =============================================================================
# Wardens
# =============================================================================

warden_wardeninsanehawk_name	Hawk Hartman
warden_wardeninsanehawk_desc	Als voormalige borghouder geeft Hartman waardevolle trainingstechnieken door aan zijn beveiligingspersoneel.\n\n -Alle bewakers laten minder vaak sleutels vallen\n -Uithoudingsvermogen van bewaker herstelt bij opname
warden_wardeninsanehawk_desc_short	-Uithoudingsvermogen van bewaker herstelt bij opname.

warden_wardeninsaneslugworth_name	Dr. Slugworth
warden_wardeninsaneslugworth_desc	Als alle andere gevangenissen ze weigeren, opent Slugworth zijn deuren voor de ergste gestoorde criminelen die er zijn, en hij gelooft dat hij ze kan helpen.\n\n - Psychiatrische behandelingen zijn 20% positiever\n - Meer kans dat je psychopathisch gestoorde criminelen ontvangt!
warden_wardeninsaneslugworth_desc_short	- Neemt meer psychopathisch gestoorde criminelen aan. Psychiaters bieden betere behandelingen.

warden_wardeninsanehudson_name	Dr. Hudson
warden_wardeninsanehudson_desc	Dr. Hudson is bereid te doen wat geen enkele andere gevangenisdirecteur kan doen...\n\n - Nooddiensten werken 20% sneller en zijn eerder ter plaatse\n - Kosten voor reparaties worden verminderd met 10%
warden_wardeninsanehudson_desc_short	- Snellere responstijden, en kosten voor reparaties worden verminderd.

# =============================================================================
# Victory, failures
# =============================================================================

victory_insaneprisonersdeaths	Sterfgevallen gestoorde gevangenen
victory_warning_insaneprisonersdeaths	Je zult ontslagen worden als er te veel gestoorde gevangenen sterven.
victory_insaneprisonersdeaths_units	Sterfgevallen

victory_insaneprisonersabused	Gestoorde gevangenen aangevallen
victory_warning_insaneprisonersabused	Je zult ontslagen worden als er te veel gestoorde gevangenen worden aangevallen door bewakers.
victory_insaneprisonersabused_units	Aanvallen

victory_adviserwarning_insaneprisonersdeaths1	We kunnen niet toestaan dat onze gestoorde gevangenen mishandeld worden in onze gevangenis! De media halen ons door het slijk als we geen orde op zaken stellen!
victory_advisernotice_insaneprisonersdeaths1	Zo is het genoeg! Je bent ontslagen! Je had voor de geestelijk zieken moeten zorgen, maar in plaats daarvan heb je ze enorm laten lijden. Ik kan je alleen ontslaan, maar ik stel voor dat je naar huis gaat en nog eens goed over je leven nadenkt.

# =============================================================================
# Codex
# =============================================================================

codex_option_criminallyinsane	Gestoorde criminelen

codex_tooltip_criminallyinsane	Zorg voor gevangenen die zich constant onderdrukt voelen. Geef ze nieuwe, gestoffeerde cellen en psychiatrische hulp om hun Privacy-, Comfort-, Veiligheid- en Vrijheid-behoeftes te verminderen voordat ze ontploffen. Als je deze instelling inschakelt, worden sommige gewone gevangenen in je gevangenis ook tot waanzin gedreven als er niet aan hun behoeftes wordt voldaan. Gevangenen die gestoorde criminelen worden, kunnen uitgezet worden in de kaartinstellingen.

codex_prisoner_biography_NITG	Gepersonaliseerde biografie van speler
codex_options_InsaneGauge	Balkjes boven gevangenen

codex_option_desert	Woestijnperceel
codex_tooltip_desert	Maak een beginperceel aan dat bestaat uit een zanderige woestijn.

codex_options_rendercolours	Gekleurde kameroverlays

codex_new_selectdog	Kies waakhonden

codex_option_prisonerTurning	Gevangenen kunnen gestoorde criminelen worden

# =============================================================================
# Rapsheet
# =============================================================================

rapsheet_category_insane	Gestoorde criminelen
rapsheet_insane_bio_desc	Gestoorde criminelen voelen constant een mate van onderdrukking en hebben gestoffeerde cellen en psychiatrische hulp nodig om ze kalm te houden.\n\nGestoorde criminelen die ontploffen kunnen ons personeel aanvallen, schade aan de gevangenis veroorzaken, proberen om te ontsnappen, of ander onvoorspelbaar gedrag vertonen.

reputation_Weak	Zwak
reputation_Insomniac	Slapeloos
reputation_Depressed	Depressief
reputation_Outbreaks	Uitbarstingen
reputation_Sickness	Ziek
reputation_Hyperactive	Hyperactief
reputation_Addict	Verslaafd
reputation_Claustrophobic	Claustrofobisch
reputation_ExtremelyStoical	Extreem stoïcijns
reputation_ExtremelyVolatile	Extreem onvoorspelbaar
reputation_Psychopathic	Psychopathisch
reputation_Insane	Gestoorde criminelen

reputationtooltip_Weak	Deze gevangene is zwakker, kan niet goed vechten en zal daarom sneller verwondingen oplopen.
reputationtooltip_Insomniac	Deze gevangene heeft zeer weinig slaap nodig.
reputationtooltip_Depressed	Deze gevangene beweegt veel langzamer als hij zich onderdrukt en onbehandeld voelt.
reputationtooltip_Outbreaks	Deze gevangene kan gewelddadige uitbarstingen hebben en de omgeving beschadigen als hij zich onderdrukt en onbehandeld voelt.
reputationtooltip_Sickness	Deze gevangene zal snel overgeven of zichzelf bezoedelen als hij zich onderdrukt en onbehandeld voelt.
reputationtooltip_Hyperactive	Beweegt veel sneller als hij zich onderdrukt en onbehandeld voelt.
reputationtooltip_Addict	Deze gevangene zal eerder verslaafd raken aan drugs als hij zich onderdrukt en onbehandeld voelt.
reputationtooltip_Claustrophobic	Deze gevangene wil veel liever aan zijn omgeving ontsnappen als hij zich onderdrukt en onbehandeld voelt.
reputationtooltip_ExtremelyStoical	Deze gevangene zal niet onderdrukt worden als hij in eenzame opsluiting zit of bij bewakers is. Het maakt hem niet uit.
reputationtooltip_ExtremelyVolatile	Hou deze goed in de gaten. Hij kan door alles uit zijn dak gaan en voor slechte situaties zorgen.
reputationtooltip_Psychopathic	Deze gevangene is veel gevaarlijker en onvoorspelbaarder dan andere gestoorde criminelen.
reputationtooltip_Insane	Zorg dat deze gevangene toegang heeft tot psychiatrische consultatiesessies en een gestoffeerde cel om hem te kalmeren.

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_insane	Gestoorde criminelen
report_intake_list_tooltip_insane	Gestoorde criminelen worden constant onderdrukt en hebben nieuwe gestoffeerde cellen en psychiatrische hulp nodig om hun Privacy-, Comfort-, Veiligheid- en Vrijheid-behoeftes te verminderen voordat ze ontploffen.\n\nJe kunt pas om gestoorde criminelen vragen als je gestoffeerde cellen of een gestoffeerde tijdelijke cel hebt.\n\nNormale cellen kunnen worden omgebouwd tot gestoffeerde cellen via het kamermenu.
report_intake_insane_intake_empty	Gestoorde criminelen kunnen momenteel niet worden opgenomen.\nJe moet eerst gestoffeerde cellen of gestoffeerde tijdelijke cellen bouwen.\nNormale cellen kunnen worden omgebouwd tot gestoffeerde cellen via het kamermenu.
report_staff_group_prisoners_insane	Gestoorde criminelen
report_Criminally_Insane	Gestoorde criminelen
report_Pyschopathic	Psychopathisch

report_intake_enable_insane	Inschakelen
report_intake_psychward_title	Psych Ward: Warden’s Edition
report_intake_psychward_tooltip	Activeer de gameplay van Psych Ward: Warden’s Edition voor deze gevangenis.\n\nHiermee kun je gestoorde criminelen opnemen, maar misschien wil je eerste de gevangenis voorbereiden.\n\nPsychiaters en ziekenbroeders kunnen nagetrokken en aangenomen worden als personeel. Je kunt Gestoffeerde cellen en tijdelijke cellen maken.\n\nPsychiaters en gestoffeerde cellen helpen je om gestoorde criminelen kalm en onder controle te houden.

reformerror_no_psychiatrist	GEEN PSYCHIATERS
reform_completion_psychiatrist	- *X Voltooid - *Y Behandeld (*P%)
report_staff_group_orderlies	Ziekenbroeders

# =============================================================================
# Research
# =============================================================================
research_Orderly	Ziekenbroeder
research_Psychiatrist	Psychiater

researchtooltip_Orderly	Normale bewakers mogen gestoorde criminelen niet aanvallen, omdat ze anders gewond kunnen raken.\nZiekenbroeders zijn speciaal getraind om gestoorde criminelen te bedwingen zonder ze te verwonden.\nZiekenbroeders doen psychopathische gevangenen 's avonds ook dwangbuizen aan zodat ze zichzelf niet verwonden in hun slaap.
