# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	完整更新記錄
objective_grant_firstinsanecellblock_description	政府願意出資擴建我們的監獄，為精神病犯提供住所並保護其身心健康。\n\n這項資助有助於建造特殊的軟墊牢房和聘用訓練有素的精神科醫生。
objective_grant_firstinsanecellblock_cells	用 10 個軟墊牢房為精神病犯建造側翼/牢房區塊
objective_grant_firstinsanecellblock_prisoners	接收 10 名精神病犯
objective_grant_firstinsanecellblock_psychiatrist	聘用 2 位精神科醫生（每人需要一間辦公室）

objective_readinsaneletter	執行長提供的關於精神病犯的準則
objective_readinsaneletter_description	在將精神病犯納入你的監獄之前，應該先準備好適當的設施和員工，以便照顧這些犯人的需求 - 執行長…

# =============================================================================
# Wardens
# =============================================================================

warden_wardeninsanehawk_name	霍克·哈特曼
warden_wardeninsanehawk_desc	作為一位前警務人員，霍克·哈特曼 把寶貴的訓練技巧傳授給了他的保安人員。\n\n -所有警衛減少遺失員工鑰匙的次數\n -接收技巧後提升警衛耐力
warden_wardeninsanehawk_desc_short	- 接收技巧後提升警衛耐力。

warden_wardeninsaneslugworth_name	斯拉格沃斯博士
warden_wardeninsaneslugworth_desc	所有其他監獄都拒絕時，斯拉格沃斯博士 為最凶惡的精神病犯敞開了大門，他相信自己能幫助他們。\n\n - 精神科醫生的治療效果提升 20%\n - 接收精神病犯的機率更高！
warden_wardeninsaneslugworth_desc_short	- 接收更多的精神病犯。精神科醫生的治療效果更佳。

warden_wardeninsanehudson_name	哈德森博士
warden_wardeninsanehudson_desc	哈德森博士 準備進行其他典獄長做不到的事…\n\n - 應急服務工作速度提升 20%，且到達時間更早\n - 維修成本降低 10%
warden_wardeninsanehudson_desc_short	- 回應時間更快速，維修成本更低。

# =============================================================================
# Victory, failures
# =============================================================================

victory_insaneprisonersdeaths	精神病犯死亡
victory_warning_insaneprisonersdeaths	如果太多精神病犯死亡，你將遭到解雇。
victory_insaneprisonersdeaths_units	死亡

victory_insaneprisonersabused	精神病犯被攻擊
victory_warning_insaneprisonersabused	如果太多精神病犯被警衛攻擊，你將遭到解雇。
victory_insaneprisonersabused_units	攻擊

victory_adviserwarning_insaneprisonersdeaths1	不能再讓精神病犯在我們的監獄裡遭受虐待了！如果我們不同心協力，媒體會讓我們名聲掃地！
victory_advisernotice_insaneprisonersdeaths1	就是這樣！你玩完了！你本該照顧這些精神病人，但你卻讓他們遭受了言語無法形容的虐待。我只能開除你，但我建議你回去重新評估自己的人生選擇。

# =============================================================================
# Codex
# =============================================================================

codex_option_criminallyinsane	精神病病犯

codex_tooltip_criminallyinsane	處理經常感覺壓抑的犯人，需要全新軟墊牢房和精神幫助，以便減少他們的隱私、舒適、安全和自由需求，避免他們發怒。開啟此設定後，如果不滿足犯人需求，你監獄中的一些普通犯人也可能被逼瘋。可以在地圖設置中關閉犯人成為精神病犯設置。

codex_prisoner_biography_NITG	自訂玩家建立的人物小傳
codex_options_InsaneGauge	犯人日常精神狀態測量表

codex_option_desert	沙漠地塊
codex_tooltip_desert	生成一個類似沙漠的起始地塊。

codex_options_rendercolours	彩色房間分佈圖

codex_new_selectdog	選擇警犬

codex_option_prisonerTurning	犯人成為精神病犯

# =============================================================================
# Rapsheet
# =============================================================================

rapsheet_category_insane	精神病犯
rapsheet_insane_bio_desc	精神病犯經常感到壓抑，需要軟墊牢房和精神幫助使他們保持冷靜。\n\n發怒的精神病犯可能會攻擊員工、破壞監獄、試圖越獄及其他不可預測的行為。

reputation_Weak	虛弱
reputation_Insomniac	失眠
reputation_Depressed	沮喪
reputation_Outbreaks	爆發
reputation_Sickness	生病
reputation_Hyperactive	激動
reputation_Addict	上癮
reputation_Claustrophobic	幽閉恐懼
reputation_ExtremelyStoical	極其自制
reputation_ExtremelyVolatile	極其易怒
reputation_Psychopathic	精神變態
reputation_Insane	精神病犯

reputationtooltip_Weak	該犯人身體虛弱，在戰鬥中表現不佳，因此更容易受傷。
reputationtooltip_Insomniac	該犯人幾乎不需要睡眠。
reputationtooltip_Depressed	當感到壓抑且得不到治療時，該犯人的行動更加緩慢。
reputationtooltip_Outbreaks	當感到壓抑且得不到治療時，該犯人容易爆發暴力行為並破壞周圍環境。
reputationtooltip_Sickness	當感到壓抑且得不到治療時，該犯人容易嘔吐和弄髒自己。
reputationtooltip_Hyperactive	當感到壓抑且得不到治療時，行動更加迅速。
reputationtooltip_Addict	當感到壓抑且得不到治療時，該犯人更有可能染上毒癮。
reputationtooltip_Claustrophobic	當感到壓抑且得不到治療時，該犯人越獄的欲望更高。
reputationtooltip_ExtremelyStoical	該犯人在被單獨拘禁或有警衛在場時不會感到壓抑。他們真的不在乎。
reputationtooltip_ExtremelyVolatile	密切關注這類犯人。任何事都能輕易激怒他們，他們會很快把事情搞砸。
reputationtooltip_Psychopathic	比起其他精神病犯，該犯人更危險且更難以捉摸。
reputationtooltip_Insane	確保該犯人能得到精神科醫生的心理諮詢和軟墊牢房，讓他們保持冷靜。

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_insane	精神病犯
report_intake_list_tooltip_insane	精神病犯經常感到壓抑，需要軟墊牢房和精神説明來減少他們的隱私、舒適、安全和自由需求，避免他們發怒。\n\n準備好一些軟墊牢房或一間軟墊拘留牢房之後，你才能申請精神病犯。\n\n透過房間功能表，可將普通牢房轉化成軟墊牢房。
report_intake_insane_intake_empty	目前無法收容精神病犯。\n你需要建造軟墊牢房或軟墊拘留牢房。\n透過房間功能表，可將普通牢房轉化成軟墊牢房。
report_staff_group_prisoners_insane	精神病犯
report_Criminally_Insane	精神病犯
report_Pyschopathic	精神變態

report_intake_enable_insane	可收容
report_intake_psychward_title	精神病區：典獄長版
report_intake_psychward_tooltip	啟動該監獄的《精神病區：典獄長版》遊戲內容。\n\n你可以接收精神病犯，但你首先需要在監獄做好準備。\n\n可搜尋並聘用精神科醫生和護理人員。可建造軟墊牢房和軟墊拘留牢房。\n\n精神科醫生和軟墊牢房有助於安撫和控制你的精神病犯。

reformerror_no_psychiatrist	無精神科醫生
reform_completion_psychiatrist	- *X 名犯人已完成 - *Y 名犯人已治療 (*P%)
report_staff_group_orderlies	護理人員

# =============================================================================
# Research
# =============================================================================
research_Orderly	護理人員
research_Psychiatrist	精神科醫生

researchtooltip_Orderly	普通警衛禁止攻擊精神病犯，因為在此過程中這些犯人可能會受到傷害。\n護理人員受過專業訓練，可在不傷害他們的情況下控制這些犯罪精神病人。\n護理人員還會在晚上為精神變態的犯人穿上緊身衣，防止他們在夜間傷害自己。
researchtooltip_Psychiatrist	一位高級員工，定期為犯罪精神病囚犯提供諮詢服務。\n一旦我們在監獄中設置了心理諮詢方案，精神科醫生便會定期提供一對一諮詢服務，以説明安撫我們的犯罪精神病囚犯。\n如果我們有很多精神病犯，我們應該聘用一些精神科醫生來幫助他們。確保每位醫生都有一間精神科醫生辦公室。


# =============================================================================
# Misc
# =============================================================================

doortimer_security_Insane	精神病

buildtoolbar_header_foundationmain	主要
buildtoolbar_header_foundationmore	更多

reformprogram_PsychiatricConsultation	心理諮詢
reformprogram_PsychiatricConsultation_text	所有精神病犯都需要定期與精神科醫生進行一對一安撫談話，以幫助降低他們逐漸增長的壓抑感。缺少精神科醫生的幫助可能會使這些囚犯爆發暴力行為和其他特別反應。
reform_program_properties_NeedToBeEscorted	犯人可能需要被護送前往參加談話。
reform_program_intake_insane	僅限精神病犯。

insane_letter	尊敬的先生/女士，\n\n\n請遵守以下重要準則，確保準備好恰當的設施和員工，以便妥善照顧精神病囚犯。\n\n1. 精神病犯必須在軟墊牢房。你可以將標準牢房轉化為軟墊牢房（通過房間按鈕）。配備軟墊牢房後，你就可以接收第一批犯人。\n\n2. 確保你的員工薪資表上有精神科醫生和護理人員。精神科醫生也需要一件特殊辦公室。\n\n3. 為你的精神病犯設置一些心理諮詢方案。這些與精神科醫生（在軟墊牢房）進行的一對一談話有助於控制犯人。升級精神科醫生辦公室也會提高其治療能力。\n\n4. 如果不治療也不檢查，精神病犯可能會做出不可預測的行為，試圖越獄或施加暴力。\n\n5. 護理人員會幫助護送和治療犯人，他們也不會像普通警衛那樣鎮壓犯人。白天結束時你還需要讓護理人員為精神變態的精神病犯穿上緊身衣。\n\n6. 精神病犯與其他犯人混獄可能會帶來麻煩。在食堂、庭院和其他區域建造並隔離精神病犯區塊是一個好辦法。此外，不妨在精神病犯牢房區塊附近建造精神科醫生辦公室。\n\n7. 最後，其他安全等級的犯人現在也有可能成為精神病犯，因此請特別注意\n\nPrison Architects Corp，\n執行長

job_StraitJacket	穿上/脫掉緊身衣
job_EscortInsane	護送精神病犯
status_effect_sedated	已注射鎮靜劑

orderly_description	護理人員受過特殊訓練，能處理和鎮靜（如有需要）精神病犯。
pyschiatrist_description	所有精神病犯都需要定期與精神科醫生進行一對一心理諮詢談話。透過方案功能表加入心理諮詢談話。

insanetooltip_status	狀態：*X
insanetooltip_status_level0	冷靜
insanetooltip_status_level1	焦慮
insanetooltip_status_level2	情緒多變
insanetooltip_status_level3	發怒！
insanetooltip_behaviour	行為：*X

mutator_name_ReducedDirtBuildup	減少塵土堆積
mutator_tooltip_ReducedDirtBuildup	監獄周圍塵土和垃圾的堆積速度減半。
administrator_requiresoffice_psychiatrist	需要精神科醫生辦公室

dlc_upsell	該存檔使用來自《*D》擴充包的內容。由於我們無法在你的系統上檢測出該擴充包，因此一些功能將無法使用。請考慮購買《*D》以獲取《監獄建築師》完整體驗。
dlc_upsell_multiplayer	此多人遊戲主機已購買《*D》擴充包，以訪客身份進入也可使用該擴充包。玩得愉快！

dlc_insane	精神病房：典獄長版本
dlc_seaandair	島嶼界限

regime_work_pyscho	方案/自由時間
regime_worklockdown_pyscho	方案/監禁

regimetooltip_work_pyscho	注意，精神病囚犯無法工作，且只能在工作時間參與方案
regimetooltip_worklockdown_pyscho	注意，精神病囚犯無法工作，且只能在工作時間參與方案


# =============================================================================
# Nameplate status
# =============================================================================

nameplate_sedation_level	鎮靜等級
teacher_teaching_pschiatrist	治療中
pschiatrist_count_status	已完成 *X 次心理諮詢


############################### SNEEZER UPDATE ###############################

# =============================================================================
# Rapsheet
# =============================================================================

action_escortToInfirmary	護送到醫務室

# =============================================================================
