# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Journal intégral des changements
buildtoolbar_popup_obj_windowclassy	Donne à l'extérieur une apparence beaucoup plus jolie que la réalité.
buildtoolbar_popup_obj_windowclassyLarge	Donne à l'extérieur une apparence beaucoup plus jolie que la réalité.
buildtoolbar_popup_obj_gravestone	Une pierre tombale est fournie pour chaque décès qui survient dans votre prison.

buildtoolbar_popup_staff_psychiatrist	Membre du personnel expérimenté qui fournit des consultations régulières aux criminels aliénés.\nLes psychiatres donnent des sessions individuelles pour aider à calmer les criminels aliénés, une fois que vous avez mis en place un programme de Consultation psychiatrique dans la prison. \nSi vous avez beaucoup de criminels aliénés, vous devriez embaucher quelques psychiatres pour les prendre en charge. Assurez-vous qu'ils aient chacun leur bureau.

buildtoolbar_popup_staff_orderly	Personnel médical, spécialement formé pour s'occuper des criminels aliénés.
buildtoolbar_popup_obj_leatherchair	Assorti au Canapé en cuir. Parfait pour que votre personnel puisse s'y asseoir, mais bien trop joli pour vos détenus.

buildtoolbar_popup_obj_rorschachTest	Ajouter un Test de Rorschach dans le bureau du psychiatre améliorera le traitement que le psychiatre administre aux criminels aliénés.
buildtoolbar_popup_obj_anatomyModel	Ajouter un Mannequin d'anatomie dans le bureau du psychiatre améliorera le traitement que le psychiatre administre aux criminels aliénés.
buildtoolbar_popup_obj_flipboard	Ajouter un Tableau basculant dans le bureau du psychiatre améliorera le traitement que le psychiatre administre aux criminels aliénés.
buildtoolbar_popup_obj_medicineCabinetPsych	Ajouter un Classeur médical dans le bureau du psychiatre améliorera le traitement que le psychiatre administre aux criminels aliénés.
buildtoolbar_popup_obj_leatherchair	Assorti au Canapé en cuir. Parfait pour que votre personnel puisse s'y asseoir, mais bien trop joli pour vos détenus.
buildtoolbar_popup_obj_leatherSofa	Ajouter un Canapé en cuir classique dans le bureau du psychiatre améliorera le traitement que le psychiatre administre aux criminels aliénés.

buildtoolbar_deployment_insaneseczone	Seuls les criminels aliénés auront l'autorisation d'entrer dans ce secteur.

failuremessage_maximumcountreachedgeneric	Quantité maximum placée

buildtoolbar_popup_locked_PsychiatricConsultation	Déverrouillé après *B sessions psychiatriques de plus
buildtoobar_PsychConItemImproveInfo	- Améliore le grade d'un Bureau de psychiatre
buildtoobar_PsychConItemImproveSuppression	- Après une consultation, réduit le niveau de répression d'un criminel aliéné\n et certains besoins de + 5 %
buildtoobar_PsychConItemImproveGrace	- Après une consultation, donne une “période de grâce”\n à un criminel aliéné pendant un jour de plus, \navant que la répression et que certains besoins augmentent de nouveau.
buildtoolbar_popup_obj_Footbridge	Permet aux détenus et au personnel de traverser des zones de terre et d'eau. Ne peut pas être construit au-dessus de murs, de clôtures et autres bâtiments.
buildtoolbar_popup_obj_FootbridgeSteel	Permet aux détenus et au personnel de traverser des zones de terre et d'eau. Ne peut pas être construit au-dessus de murs, de clôtures et autres bâtiments.
buildtoolbar_popup_obj_FootbridgeB	Permet aux détenus et au personnel de traverser des zones de terre et d'eau. Ne peut pas être construit au-dessus de murs, de clôtures et autres bâtiments.
buildtoolbar_popup_obj_FootbridgeSteelB	Permet aux détenus et au personnel de traverser des zones de terre et d'eau. Ne peut pas être construit au-dessus de murs, de clôtures et autres bâtiments.
buildtoolbar_popup_obj_BoomBoxRoundHouse	Permet à vos prisonniers d'écouter leurs boys bands favoris tout au long de la journée. Rend tous les prisonniers dans la même salle légèrement plus heureux.
# =============================================================================
# Room - Names
# =============================================================================

room_PaddedSolitary	Cellule d'isolement matelassée

# =============================================================================
# Room - Description
# =============================================================================

buildtoolbar_popup_room_paddedcell	Conçue pour des criminels aliénés, avec des murs matelassés qui produisent un effet apaisant.
buildtoolbar_popup_room_paddedholdingcell	Là où sont placés les criminels aliénés, avant qu'une cellule matelassée permanente ne soit prête.
buildtoolbar_popup_room_paddedsolitary	Une cellule d'isolement pour les pires des criminels aliénés.

# =============================================================================
# Quick Build - Names
# =============================================================================

quickbuild_paddedbasiccell	Matelassée (Petite)
quickbuild_paddedintermediatecell	Matelassée (Moyenne)
quickbuild_paddedholdingcell	Cellule d'attente matelassée
quickbuild_paddedsolitarycell	Cellule d'isolement matelassée
quickbuild_PsychiatristOffice	Bureau de psychiatre



# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_insaneseczone	Sécurité Criminels aliénés seulement
interfacetopbar_PrisonerCells_insaneSecOnly	Capacité en criminels aliénés : *X

roomgrading_PsychiatristOffice_info	Déverrouillez et placez des objets supplémentaires dans le Bureau du psychiatre pour améliorer le traitement offert aux criminels aliénés.\n
Items	sont déverrouillés par des détenus criminellement aliénés qui suivent des programmes de consultation psychiatrique.
roomgrading_PsychiatristOffice_Item	Objet : *X
roomgrading_PsychiatristOffice_Quality	Aptitude du Psychiatre : *Q
roomgrading_PsychiatristOffice_Upgrade	Améliorez le Bureau du psychiatre pour augmenter son efficacité.

roomgrading_score_average	MOYEN
roomgrading_score_good	BON
roomgrading_score_verygood	TRÈS BON
roomgrading_score_outstanding	EXCEPTIONNEL

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_grant_firstinsanecellblock	Aile des criminels aliénés
objective_grant_firstinsanecellblock_description	Le gouvernement est disposé à financer l'agrandissement de notre prison avec des installations pour loger et protéger le bien-être de criminels aliénés.\n\nCette subvention va permettre la construction de cellules matelassées spéciales et l'embauche de psychiatres aguerris.
objective_grant_firstinsanecellblock_cells	Construisez une aile / un bloc de cellules pour criminels aliénés, avec 10 cellules matelassées
objective_grant_firstinsanecellblock_prisoners	Accueillez 10 criminels aliénés
objective_grant_firstinsanecellblock_psychiatrist	Recrutez 2 psychiatres (chacun doit avoir son propre bureau)

objective_readinsaneletter	Directives du PDG sur les criminels aliénés
objective_readinsaneletter_description	Avant d'intégrer des criminels aliénés dans votre prison, vous devez préparer les installations et recevoir le personnel approprié afin de prendre bien en compte leurs besoins – Le PDG...

# =============================================================================
# Wardens
# =============================================================================

warden_wardeninsanehawk_name	Hawk Hartman
warden_wardeninsanehawk_desc	En tant qu'ancien bailleur de fonds, Hartman transmet des techniques d'entraînement précieuses à son personnel de sécurité.\n\n - Les gardes perdent moins souvent les clefs du personnel\n - L'énergie des gardes se reconstitue lors des admissions de prisonniers.
warden_wardeninsanehawk_desc_short	- L'énergie des gardes se reconstitue lors des admissions de prisonniers.

warden_wardeninsaneslugworth_name	Dr Slugworth
warden_wardeninsaneslugworth_desc	Bien que toutes les autres prisons les refusent, Slugworth ouvre grand les portes aux criminels aliénés les pires qui soient, car il est persuadé de pouvoir les aider.\n\n- Traitements psychiatriques 20 % plus positifs.\n - Les chances de recevoir des criminels aliénés Psychopathes sont plus élevées !
warden_wardeninsaneslugworth_desc_short	- Accepte plus de criminels aliénés Psychopathes. Les psychiatres fournissent un meilleur traitement.

warden_wardeninsanehudson_name	Dr Hudson
warden_wardeninsanehudson_desc	Le Dr Hudson est prêt à faire ce qu'aucun autre directeur de prison ne sait faire...\n\n - Les services d'urgence fonctionnent 20 % plus rapidement et arrivent plus vite \n - Les coûts de réparation sont réduits de 10 %
warden_wardeninsanehudson_desc_short	- Temps d'intervention plus rapides et réduction des coûts de réparations.

# =============================================================================
# Victory, failures
# =============================================================================

victory_insaneprisonersdeaths	Décès de détenus aliénés
victory_warning_insaneprisonersdeaths	Vous serez licencié si trop de criminels aliénés meurent.
victory_insaneprisonersdeaths_units	Décès

victory_insaneprisonersabused	Attaques de détenus aliénés
victory_warning_insaneprisonersabused	Vous serez licencié si trop de criminels aliénés sont attaqués par les gardes.
victory_insaneprisonersabused_units	Attaques

victory_adviserwarning_insaneprisonersdeaths1	Nous ne pouvons pas continuer à laisser nos détenus aliénés se faire maltraiter dans notre prison ! Les médias traîneront notre nom dans la boue si nous ne prenons pas les choses en main!
victory_advisernotice_insaneprisonersdeaths1	Ça suffit ! Je vous vire ! Vous deviez soigner les malades mentaux et vous les avez laissés subir des cruautés indicibles. Je ne peux que vous licencier, mais je vous suggère de rentrer chez vous et de réévaluer vos choix de vie.

# =============================================================================
# Codex
# =============================================================================

codex_option_criminallyinsane	Détenus criminels aliénés

codex_tooltip_criminallyinsane	Occupez-vous de détenus qui se sentent brimés en permanence, qui ont besoin de nouvelles cellules matelassées et d'aide psychiatrique pour réduire leur besoin de confort, d'intimité, de sécurité et de liberté, avant qu'ils ne piquent ne crise. Activer ce paramètre permet également à des détenus ordinaires de devenir fous dans votre prison, si leurs Besoins ne sont pas pris en charge. Les détenus qui deviennent aliénés peuvent être désactivés dans les paramètres de la carte.

codex_prisoner_biography_NITG	Biographie créée par le joueur
codex_options_InsaneGauge	Jauges Détenus

codex_option_desert	Terrain désertique
codex_tooltip_desert	Génère un terrain de départ qui ressemble à un désert de sable.

codex_options_rendercolours	Superposition colorée des salles

codex_new_selectdog	Choisir des chiens de garde

codex_option_prisonerTurning	Les détenus peuvent devenir des criminels aliénés

# =============================================================================
# Rapsheet
# =============================================================================

rapsheet_category_insane	Criminel aliéné
rapsheet_insane_bio_desc	Les détenus criminellement aliénés se sentent en permanence brimés et ont besoin de cellules matelassées et de soins psychiatriques pour rester calmes.\n\nLes détenus criminellement aliénés qui entrent en crise peuvent attaquer le personnel, endommager la prison ou tenter de s'évader, entre autres comportements imprévisibles.

reputation_Weak	Fragile
reputation_Insomniac	Insomniaque
reputation_Depressed	Dépressif
reputation_Outbreaks	Accès de rage
reputation_Sickness	Malade
reputation_Hyperactive	Hyperactif
reputation_Addict	Accro
reputation_Claustrophobic	Claustrophobe
reputation_ExtremelyStoical	Extrêmement stoïque
reputation_ExtremelyVolatile	Extrêmement instable
reputation_Psychopathic	Psychopathe
reputation_Insane	Criminel aliéné

reputationtooltip_Weak	Ce détenu est plus faible, n'est pas doué pour se battre et est donc plus susceptible de se faire blesser.
reputationtooltip_Insomniac	Ce détenu a besoin de peu de sommeil.
reputationtooltip_Depressed	Ce détenu se déplace plus lentement quand il se sent réprimé et non traité.
reputationtooltip_Outbreaks	Ce détenu est sujet à de violentes crises de rage et endommage l'environnement autour de lui lorsqu'il se sent réprimé et non traité.
reputationtooltip_Sickness	Ce détenu est sujet à des vomissements ou peut se souiller lorsqu'il se sent réprimé et non traité.
